Algorithm,Size,Time
InsertionSort,1,0.000000
MergeSort,1,0.000000
InsertionSort,100,0.000000
MergeSort,100,0.000000
InsertionSort,1000,0.000000
MergeSort,1000,0.000000
InsertionSort,10000,0.130000
MergeSort,10000,0.002000
InsertionSort,20000,0.664000
MergeSort,20000,0.003000
InsertionSort,30000,1.691000
MergeSort,30000,0.005000
InsertionSort,40000,3.571000
MergeSort,40000,0.008000
InsertionSort,50000,6.306000
MergeSort,50000,0.012000
InsertionSort,60000,10.587000
MergeSort,60000,0.014000
InsertionSort,70000,16.576000
MergeSort,70000,0.016000
InsertionSort,80000,24.725000
MergeSort,80000,0.018000
InsertionSort,90000,30.998000
MergeSort,90000,0.025000
